"Parameter","Mean","Median","CI_2.5","CI_97.5","Percent_Pos","Percent_Neg"
"beta0.psi",2.392,2.388,1.102,3.678,99.99,0.01
"beta0.theta",-0.127,-0.141,-0.552,0.388,23.15,76.85
"alpha0",-1.068,-1.074,-1.801,-0.171,0.81,99.19
"beta1.psi.BU",0.185,-0.03,-1.498,3.651,48.5,51.5
"beta2.psi.HB",-0.86,-1.025,-2.567,1.87,14.4,85.6
"beta3.psi.HU",-1.791,-1.773,-2.647,-1.043,0,100
"beta4.psi.BS",-2.19,-2.203,-3.599,-0.72,0.4,99.6
"beta5.psi.lat",0.364,0.366,-0.352,1.066,84.95,15.05
"beta6.psi.lon",0.127,0.119,-0.575,0.885,63.09,36.91
"beta8.psi.elev",0.366,0.359,-0.024,0.797,96.69,3.31
"beta9.psi.dwd",0.777,0.767,0.168,1.443,99.41,0.59
"alpha1",0.023,0.023,-0.08,0.127,66.99,33.01
"alpha2",-0.12,-0.121,-0.208,-0.032,0.41,99.59
