"Parameter","Mean","Median","CI_2.5","CI_97.5","Percent_Pos","Percent_Neg"
"beta0.psi",1.906,1.843,0.675,3.494,99.96,0.04
"beta0.theta",0.309,0.286,-0.258,1.004,85.74,14.26
"alpha0",-1.636,-1.634,-1.975,-1.311,0,100
"beta1.psi.BU",-0.475,-0.821,-2.463,4.929,21.91,78.09
"beta2.psi.HB",-2.421,-2.398,-3.912,-1.044,0.03,99.97
"beta3.psi.HU",-2.448,-2.41,-3.411,-1.703,0,100
"beta4.psi.BS",-2.935,-2.903,-4.499,-1.552,0,100
"beta5.psi.lat",-1.281,-1.269,-1.986,-0.648,0,100
"beta6.psi.lon",0.675,0.667,0.065,1.33,98.56,1.44
"beta8.psi.elev",-0.475,-0.473,-0.865,-0.099,0.67,99.33
"beta9.psi.dwd",-0.442,-0.437,-0.988,0.07,4.6,95.4
"alpha1",-0.037,-0.037,-0.148,0.073,25.57,74.43
"alpha2",-0.098,-0.098,-0.198,0.003,2.82,97.18
